P23025	P20585
P19793	Q13569
P04637	O75376
P46531	P35222
Q09472	Q71DI3
P04637	Q9Y2W1
Q9UBE0	P61081
Q93009	Q8NG27
P43351	P15927
P09651	P49589
Q00987	Q01105
Q01844	O00512
P53350	Q13153
P09651	Q6PKG0
P53350	P54727
P04150	P0DPB6
P35637	Q969F2
Q09472	P22736
Q9UBB5	O95983
Q09472	Q96BR9
Q13573	P62851
Q9UKV8	O14746
P15884	Q96HT8
Q09472	P16220
Q13573	O15042
Q9UER7	Q9BPZ2
P38936	P38606
P40337	Q01105
P37840	P49841
P61244	Q9H0E3
Q02548	Q01196
Q13573	Q9NQW6
P25054	O43251
P02686	P54253
P53350	P19793
P04637	Q8WTS6
P17096	Q96LA8
Q9UKV8	P63173
P15884	P36551
P08047	P15172
Q13541	Q6R327
P49841	Q9UHK0
Q9Y5B0	Q8N201
P20810	Q15020
P60896	Q9UHQ1
P29353	Q9Y696
P54725	Q96IV0
Q00987	P78347
P04637	Q9UHC7
P17096	P16220
Q9UER7	Q9H444
Q8N488	Q8WXX7
Q13573	O95785
O15350	P14635
Q01844	Q9HAH7
Q49AN0	Q93008
Q09161	Q13769
Q9Y6Q9	Q92831
P27695	P15927
P01100	Q92793
P27695	O95456
Q00987	P11387
Q09472	Q13469
Q00987	O00264
P61244	Q00839
P38936	Q7KZI7
Q9UJY5	P55072
Q09472	P43694
P51608	P61244
Q93009	Q15468
P04637	Q07666
P46527	P49815
Q9HAU5	P17096
P04637	Q9NZC9
P35637	O43143
P04637	Q15596
P60896	O95816
Q01844	Q15056
Q93009	Q9NZJ7
P35869	Q9UNE7
P40337	O00264
P04637	P25963
Q9NX55	P19105
O15350	P06753
P38936	Q6UXH1
P38936	O95865
P16949	O95817
P09651	P15927
P25054	Q7Z3B4
P04637	Q96PM5
P04637	Q15648
Q01844	P48382
P53350	Q96M86
P04637	Q8IX12
P04637	Q7KZ85
Q14061	P04637
P04637	Q99853
P40337	Q8NBJ5
P15884	Q9UDX3
Q13573	Q9Y618
Q93009	Q9UBN7
P02545	P42166
Q13573	P38919
O00488	P46089
P40337	P47756
P37840	P61956
P04637	P49757
P04637	Q3ZCQ8
Q13573	P19793
P51608	P48431
Q09472	Q9Y6Q9
P49841	Q01201
P23025	Q9UIF7
P08047	Q06546
Q93009	P04637
P04637	Q96EQ8
Q00987	O75179
P14635	P30307
P04818	P30566
P35637	P29401
P25963	Q13490
P04637	Q96ST3
P46531	Q04864
P49841	O60343
O14733	Q9UPT5
P04637	Q14684
P37840	Q8IZQ1
P01100	O43709
P35637	P62913
Q13573	P46734
P09651	P35228
Q14191	Q96EB6
Q09472	P37275
P08047	Q5T5U3
Q09472	Q12905
O15169	P39687
P24522	P14635
Q9UBE0	P46060
Q9NQC3	Q8IXJ6
Q09161	Q5VT52
Q13573	P54132
Q49AN0	P15880
O15350	Q92831
P04637	O15524
P08047	P23511
P02545	Q96HA1
Q00987	P62899
Q13573	Q9UFC0
Q9UBB5	P20226
Q9UGL1	O60902
P14859	P61956
Q00987	Q5TAQ9
P25054	O95785
P15884	Q9BZE9
P29353	P12931
Q8WZ42	Q9NX70
Q00987	O94826
P24522	P07199
P14635	P09884
P08047	O14976
Q00987	P29590
P04637	P30307
P60896	Q13620
P02686	P51946
P14635	O95257
P61244	P22626
P04637	Q9UBL3
P40337	Q9UNE7
Q00987	Q08379
P25054	Q9NSA3
Q00987	O15151
P17096	Q9Y5N6
Q99801	O95238
P02545	Q9Y570
P25054	P0C0L4
P54725	P14635
Q09472	Q99683
Q13573	P11387
Q09472	P43364
P04150	Q9UBN7
Q09472	Q86WP2
O15350	Q9BUQ8
Q99801	Q07065
Q9NQB0	P29590
Q93009	Q9HAW4
P37840	P99999
P08047	P14859
Q9UKV8	P62899
P51608	Q02447
P80723	Q96H55
Q99801	Q9NZU5
Q49AN0	O15055
O15350	Q12834
P04150	P04637
Q8WZ42	Q13620
P11387	P16403
Q93009	O95243
P30291	Q9H0E9
Q09472	Q9UJU2
P04637	Q9H1Z9
P49841	Q05397
Q00987	Q13838
Q01844	Q12905
P04637	P09884
P35637	Q07020
P40337	Q14318
P04637	Q13887
Q93009	Q8IY57
P49841	Q12933
P04637	Q9H4L4
Q01844	O14562
Q01844	Q9UIQ6
P40337	P23508
P09651	Q9BUQ8
P37840	Q9UHV9
P53350	Q9Y5T5
P19793	P04183
P04637	Q93009
Q13573	O15372
Q9H2S9	Q13363
P16949	O96017
P54725	Q8IWJ2
P04637	Q96BR9
P04637	P16220
Q13573	Q96FV9
P04637	Q5T4S7
P40337	P62807
P02545	A0JLT2
P40337	P62877
P37840	Q9H4B4
P08047	P01584
O00488	Q13387
Q01844	P46379
P46531	Q99081
Q9NQB0	P35637
P09651	Q6KB66
P04150	P29375
P01100	Q96CV9
P20810	Q9Y570
P46531	Q969H0
Q8N488	Q9HCM7
Q09472	Q10571
P35611	P22670
P41236	P62807
P17096	P07900
P14635	Q6P1M3
P37840	P08670
P51608	P04040
P16949	O14737
P53350	P62877
Q01844	P32242
Q9HAU5	P42285
O76070	O43865
P25963	P51668
P35637	Q9Y620
Q01844	Q69YH5
P29353	Q13085
Q09472	Q13569
P54725	Q13233
Q13573	Q9NPJ6
Q01844	P55081
Q00987	P06753
P35637	P19793
O15350	P17612
P08047	P27540
P46527	Q13526
P14859	Q9H4B4
Q9HAU5	Q8IYB3
P24522	Q8N205
P24522	P38936
Q9UER7	Q13158
Q13573	Q08379
P53350	P14635
Q09472	P06401
Q9UGL1	O75376
Q09472	Q96RK1
Q09472	O95359
Q9HAU5	Q71F23
Q09161	Q9UBU9
Q9H832	Q9UBU9
Q00987	P02545
P35637	Q01844
P46527	O60674
P49841	Q9Y2J2
P29353	P46109
Q9Y6Q9	P10589
P25963	Q04864
Q9NQC3	P42677
P61244	O60271
Q09472	Q05066
P54725	Q9NYL9
O43464	P25054
P25054	Q8IUQ4
P08047	Q06609
P15884	Q96F07
P78356	Q15287
P25054	Q9NR80
Q00987	Q5RKV6
Q09472	P20823
P04637	Q8N114
P08047	P18146
P19793	Q96F24
P04637	Q9H2S5
O15350	Q9P2P5
Q13569	Q9UBU9
P49354	P49454
Q13573	Q13838
Q01844	Q15022
P29353	Q12774
Q8N488	P63208
P40337	Q8WVV9
P04637	Q9Y6Q9
P25963	O00625
P51946	O14777
Q8N488	Q99549
P35637	Q15910
P46531	P48736
P14859	Q15562
P19793	P61201
P25054	O75179
Q00987	P40939
P09651	Q16637
Q8N488	Q13185
Q00987	P00558
P04637	P62081
P29353	O14744
P02686	P17252
Q13573	Q68DK7
Q93009	Q99836
P35637	P61244
Q93009	Q9NYY8
P14635	Q6ZU80
O43464	O60508
P08047	Q9BXP5
P09651	P43243
P35869	P27540
Q00987	Q9UJZ1
P04637	Q15843
P01100	P19338
P60896	Q6P1X5
P63027	Q3ZCQ8
Q09472	P17252
Q13573	P14635
P02545	Q96KC8
Q09472	P23025
Q49AN0	P21333
P53350	O60285
Q9NQC3	O75298
Q96T21	Q08379
P08047	Q8WUF5
P01100	Q9NZU7
Q02548	Q02363
P04637	P22087
P46531	Q9GZV5
P04637	Q9H8V3
P20810	Q9BT78
P35869	P35222
Q00987	Q9H1E3
P04637	O15169
P60896	Q99700
Q13573	Q8IYB3
Q09472	O95863
P40337	P62805
Q00987	P29084
Q01844	O95817
Q9Y6Q9	Q9ULH7
P29353	A7KAX9
Q01844	Q96SB4
P54725	P48556
P15884	Q6XD76
P17096	P17252
Q13569	P06401
P04637	P51946
P17096	P14866
Q9UKV8	Q9UJZ1
P04637	Q6ZU80
Q00987	Q02790
P14635	Q15386
Q49AN0	P33993
P09651	P49750
P15884	Q92886
Q09472	Q86UW6
Q13573	P11441
Q09161	O75478
P40337	Q8TBZ2
P01100	O75444
Q9Y6Q9	Q63ZY3
Q01844	Q13601
P08047	O43474
Q09472	P04150
P01100	P78332
O15169	Q99961
Q01844	Q96DF8
P35637	Q15006
P09651	Q9NR30
Q49AN0	Q9UHI6
Q09161	P09651
Q01844	Q9NPD8
Q99801	P51948
Q09472	P36956
P25054	Q9H9E3
Q8WZ42	Q9Y244
P23025	Q09472
Q09161	O15504
P46531	Q96S59
Q00987	P15924
P49841	Q13490
Q93009	P32314
Q9Y5B0	Q15648
Q01844	O14908
P09651	Q9HCS7
P29353	P02549
Q9UER7	Q9NQB0
P09651	Q13573
P54725	Q96RL1
P80723	P54725
P60896	P54727
Q9UKV8	Q02790
P04637	P07900
P35637	Q9UBE0
P04150	Q969G3
Q93009	Q9NQI0
P37840	P30626
Q13573	O60841
Q01844	Q96MF7
P53350	Q6UXH1
Q99801	Q02446
P09651	Q9Y696
Q09472	P27695
P04150	P08235
P04150	P09086
Q00987	P35222
O15350	Q6EMB2
O75496	P31260
P01100	P20226
P61244	Q96ST3
Q9Y6Q9	Q15788
P25054	P52594
P02545	O75694
P29353	P05783
Q9UER7	P23760
Q00987	Q8N488
P08047	Q9C0K0
P49841	Q8N4C6
O75496	Q9BWE0
Q09472	P35398
P17096	P19338
P08047	P11831
P49841	Q9P1W9
Q9NQB0	P35222
Q9UKV8	P10644
P25054	Q8IVL0
Q9NQC3	P12931
P27695	P61956
Q00987	O94992
P54725	P51668
Q13698	P30626
P38936	P46379
P63027	Q93009
P40337	Q12996
P80723	P82970
P09651	P29558
Q13573	Q6P2Q9
P04637	Q13569
P37840	Q9UNE7
Q01844	Q99728
Q9UBB5	P48431
Q8WZ42	P30049
P25054	Q96LZ3
Q09472	O15156
Q01844	P00918
P01100	Q13823
Q16143	P53350
Q00987	Q9NQU5
P53350	P35222
P25963	O14562
Q09472	Q9GZM7
Q13573	Q9BUQ8
Q01844	Q7Z7F0
P49841	Q9UKA4
P35637	Q9UBW7
O15169	P49815
P38936	Q9UII4
Q00987	Q9BQI3
P35637	Q14157
Q00987	Q96RL1
Q93009	Q02241
Q93009	P15927
P35637	Q99759
Q93009	Q9UGU0
P04637	Q16594
Q09472	Q15554
Q00987	P43243
Q09161	Q9UKV8
P51608	Q9P2P5
Q13569	P04150
P38936	P06400
Q13573	Q7Z3K3
P29353	Q05397
P46527	P33993
Q13569	P24522
P14635	Q96PU4
P04637	Q9Y2D8
Q09161	P19338
P25963	Q9Y6K9
P60896	P11387
P46531	Q9Y496
Q13573	Q06330
P04818	Q9HAU5
P04637	P61254
Q01844	Q96J02
Q00987	O15304
Q9UER7	Q7Z5J4
P14635	O14777
P49841	P01871
P17096	Q15554
Q09472	Q01196
Q00987	P42677
P08047	Q8N108
P52298	O60506
Q09161	Q9UL40
Q00987	P51668
P61244	P02794
Q9NX55	Q99750
Q09472	O60885
Q9UKV8	P43243
P35637	Q8IYB3
P35637	Q9ULU8
P61244	Q969R5
P40337	Q14203
P04637	Q15672
P40337	P42677
O15350	Q9H0F5
Q01844	Q01851
Q01844	Q14789
P04637	Q13363
Q9UJY5	P11717
P08047	Q01780
P35611	P55072
Q00987	O60220
Q01844	Q6P4R8
Q01844	P47914
P04637	Q96PU4
Q00987	Q96AG4
Q00987	Q16836
P40337	P51668
Q01844	Q9GZU8
P60896	O00233
O15350	O00499
P35637	P11441
Q9NQC3	P02686
P09651	Q13148
Q9UER7	Q13043
P04637	Q08209
P04637	P17252
Q9UKV8	P42677
Q9UBE0	P61956
Q9UBE0	Q93052
Q09472	P35869
P53350	Q13127
Q13573	Q12996
Q09472	O15350
P02545	P18615
Q09472	Q01094
Q9NQC3	Q9GZV5
P25054	Q8IVL1
Q13573	Q68E01
Q09161	P52298
P04637	Q99547
Q49AN0	P12956
P08047	Q9NY61
Q13573	Q8TDN6
P04637	P11388
O60927	O95835
P29353	P22681
P25054	Q7KZI7
Q01844	Q99814
Q09472	Q14676
Q93009	P33991
Q13573	Q8NB90
Q93009	O43524
P04637	Q9NVI7
P04150	Q92793
P49841	Q8IZQ8
P09651	Q5BKZ1
Q16633	Q8IUQ4
Q9Y6Q9	P01100
Q8WZ42	P01857
Q09472	P61201
P35637	Q8IY67
Q93009	Q9UPY3
P25054	Q9ULH1
P14635	Q13526
P29353	P13645
P49841	P62750
P49841	P20749
Q00987	O75347
Q13573	Q7KZF4
O43236	Q16143
Q13573	P43243
Q9UKV8	Q6YI46
Q13573	Q9P2P5
P35637	P00558
P53350	Q13573
P02545	Q5VV42
Q01844	P62424
Q9HAU5	Q9H9D4
Q01844	O60869
Q09161	Q9H814
P30291	Q13526
P04637	Q9Y399
Q9UER7	Q13114
P04637	Q9UKV8
Q09161	O75150
P54725	Q9H773
Q01844	Q9NZJ7
P04637	P15880
P14859	Q5SXM2
Q00987	Q9HCC0
P09651	O43169
P04637	P19338
P40337	Q14241
P51608	O75182
Q96T21	Q8N0Z3
P01100	Q9Y618
O15350	Q13952
P01100	Q86X55
P49841	Q9Y6E2
P37840	P22695
Q01844	P62917
O14733	O95999
P25963	Q9H2S9
P04637	Q13526
P60896	Q13838
P09651	Q8IWV7
Q13573	Q9GZZ9
Q9H981	Q96EZ8
P53350	O94762
P14859	P23511
P25054	P35222
Q8WZ42	Q01130
P19793	Q03989
P51608	Q01831
O15350	Q96S59
P35637	P40222
Q00987	Q01831
P63027	Q9UHD8
P25963	Q58WW2
Q01844	Q09472
P40337	P08151
Q01844	P04637
P08047	P06400
P54725	Q96JB6
Q9UER7	Q8IZU0
Q13569	O15350
P37840	O14682
Q09472	P33993
Q13573	Q9NR30
P09651	Q9P0M9
P04637	O15055
Q01844	Q96MW1
Q00987	Q969H0
Q9NQC3	Q9UNL2
Q9Y6Q9	Q13618
Q9Y6Q9	P02549
P25054	Q8NEY1
Q13573	Q9HCS7
P25054	Q9H4B6
Q13569	P43699
P46531	Q9Y6I3
P08047	Q5T1M5
P04637	P04183
O15169	Q13526
P35637	Q8WWM7
P51608	Q6ZQN5
P40337	P52272
Q00987	Q9BVP2
O15169	Q9UHX1
P54725	P22314
Q00987	P12931
P38936	P24522
Q09472	P10827
P01100	Q13287
P35637	Q14686
Q01844	P52952
P40337	P50991
Q01844	O75147
P52298	Q86VP6
Q969F2	Q96PM5
Q00987	Q9Y291
Q13573	Q9Y295
Q01844	Q15154
P15884	O75558
P09651	P02751
P20810	P12277
P04150	O94906
P53350	Q13158
P16949	Q96BK5
P15884	Q9Y5U2
P63027	O60645
Q09161	Q8NFC6
Q09161	Q9BY77
Q13573	Q92797
Q13541	P51449
P29353	P08047
Q9UER7	Q9UIG0
P25054	P20929
Q01844	O75937
Q01844	O75376
Q16633	Q9BQY4
P40337	P47985
Q49AN0	Q99743
P09651	O43172
Q9UKV8	Q9BVP2
Q9UKV8	Q96P70
Q01844	P09874
P53350	Q9H773
P25963	P63167
Q9UKV8	Q96D09
P35611	P35612
Q9UJY5	Q9Y3C5
P25963	Q99728
P25054	P42677
P02545	Q92917
P61244	P07900
P14635	Q12888
P49841	Q16584
Q00987	Q5BKZ1
P08047	Q53GS9
P11387	Q6P2Q9
O76070	O60566
Q9UER7	Q16082
Q00987	Q15029
P35611	P51532
P02545	O00267
P04637	O75150
P02545	P06400
Q49AN0	P55072
P46527	P16949
Q9UBE0	P28072
P04637	O15550
P37840	Q9NVR5
P46531	Q09472
P09651	Q9UNQ2
Q01844	Q8N3X1
P49841	Q9NX09
P01100	O75179
Q09472	O60341
P38936	P61978
Q13573	Q96DI7
P35637	P43243
Q09161	Q86V81
P46531	Q86U86
P04637	Q01094
P11387	P49336
P30291	Q8TDC3
Q9H832	Q16774
P04637	Q9UKT5
Q01844	P08648
P04150	Q9HC78
P04150	P09651
P09651	Q14498
Q13573	P35606
P07476	P15924
P04637	P62913
Q09472	Q8N6I1
P35869	Q8NI08
P15884	Q9Y6H1
P29353	O15162
O75496	Q5VZL5
P49841	P46379
Q08209	P04150
P04637	Q14676
Q01844	Q9GZT5
Q01844	O75940
Q09161	P38919
Q49AN0	P33991
P38936	Q9UHY1
P04637	P61201
P46527	P14635
Q49AN0	Q9UPY3
P09651	Q13618
P80723	P08670
Q13573	P12931
P02545	Q9Y5M8
P37840	Q9BXP5
O75496	Q01844
P01100	P29590
P04637	Q6P3S6
P04637	Q9BQG0
P40337	Q8N4S0
P61244	Q16594
Q13573	Q8N1G4
P23025	P54278
P16949	P55072
P53350	P47736
P53350	Q9Y6K9
Q13573	Q13148
Q93009	Q13620
O14733	P07900
P09651	Q00577
Q09472	Q00987
O15350	Q03701
P01100	Q9Y5T5
P09651	Q8TAE8
P53350	Q92844
P38936	O60516
Q13573	P78344
Q9UKV8	Q9UII4
P29353	Q38SD2
P04150	P51532
Q13573	Q15788
P15884	Q01130
P53350	Q9UKT4
Q9UKV8	P01375
P37840	P04062
P15884	P15172
Q9H981	Q9H9F9
P04637	P62851
P29353	P06748
P04637	Q9NP81
Q09472	Q9NYA1
Q9UGL1	Q9BXQ6
P35637	Q13573
P49841	P62861
P09651	Q5T749
Q09472	P08235
Q13573	Q9UHB9
Q9HAU5	Q9ULV3
P51946	Q08379
P04818	P61081
Q9UER7	P15884
Q01844	Q86U42
Q13573	Q5BKZ1
Q09472	P12956
